===============================================================
Gobuster v3.1.0
by OJ Reeves (@TheColonial) & Christian Mehlmauer (@firefart)
===============================================================
[+] Url:                     http://10.10.51.178:5003/
[+] Method:                  GET
[+] Threads:                 40
[+] Wordlist:                /usr/share/wordlists/directory_enum/directory-list-2.3-medium.txt
[+] Negative Status codes:   404
[+] User Agent:              gobuster/3.1.0
[+] Extensions:              html,php,txt
[+] Timeout:                 10s
===============================================================
2022/02/10 13:02:38 Starting gobuster in directory enumeration mode
===============================================================
/faqs                 (Status: 500) [Size: 62610]
/space                (Status: 500) [Size: 62624]
/other                (Status: 500) [Size: 62624]
/t                    (Status: 500) [Size: 62568]
/static               (Status: 500) [Size: 62638]
/health               (Status: 500) [Size: 62638]
/EWbutton_Community   (Status: 500) [Size: 62806]
/menu                 (Status: 500) [Size: 62610]
/browse               (Status: 500) [Size: 62638]
/weather              (Status: 500) [Size: 62652]
/reports              (Status: 500) [Size: 62652]
/programs             (Status: 500) [Size: 62666]
/EWbutton_GuestBook   (Status: 500) [Size: 62806]
/admin                (Status: 500) [Size: 62624]
/EuropeMirror         (Status: 500) [Size: 62722]
/showallsites         (Status: 500) [Size: 62722]
/apps                 (Status: 500) [Size: 62610]
/2000                 (Status: 500) [Size: 62610]
/windows              (Status: 500) [Size: 62652]
/Home                 (Status: 500) [Size: 62610]
/pr                   (Status: 500) [Size: 62582]
/categories           (Status: 500) [Size: 62694]
/FireFox_Reco         (Status: 500) [Size: 62722]
/advertising          (Status: 500) [Size: 62708]
/detail               (Status: 500) [Size: 62638]
/strona_14            (Status: 500) [Size: 62680]
/entertainment        (Status: 500) [Size: 62736]
/strona_11            (Status: 500) [Size: 62680]
/scripts              (Status: 500) [Size: 62652]
/strona_2             (Status: 500) [Size: 62666]
/strona_3             (Status: 500) [Size: 62666]
/32                   (Status: 500) [Size: 62582]
/strona_18            (Status: 500) [Size: 62680]
/assets               (Status: 500) [Size: 62638]
/strona_17            (Status: 500) [Size: 62680]
/strona_10            (Status: 500) [Size: 62680]
/strona_15            (Status: 500) [Size: 62680]
/strona_4             (Status: 500) [Size: 62666]
/strona_7             (Status: 500) [Size: 62666]
/36                   (Status: 500) [Size: 62582]
/newsletters          (Status: 500) [Size: 62708]
/strona_6             (Status: 500) [Size: 62666]
/registration         (Status: 500) [Size: 62722]
/strona_20            (Status: 500) [Size: 62680]
/40                   (Status: 500) [Size: 62582]
/kontakt              (Status: 500) [Size: 62652]
/mailman              (Status: 500) [Size: 62652]
/strona_8             (Status: 500) [Size: 62666]
/strona_1             (Status: 500) [Size: 62666]
/strona_5             (Status: 500) [Size: 62666]
/tutorials            (Status: 500) [Size: 62680]
/showthread           (Status: 500) [Size: 62694]
/35                   (Status: 500) [Size: 62582]
/network              (Status: 500) [Size: 62652]
/audio                (Status: 500) [Size: 62624]
/strona_9             (Status: 500) [Size: 62666]
/footer               (Status: 500) [Size: 62638]
/strona_16            (Status: 500) [Size: 62680]
/politics             (Status: 500) [Size: 62666]
/r                    (Status: 500) [Size: 62568]
/strona_12            (Status: 500) [Size: 62680]
/it                   (Status: 500) [Size: 62582]
/eng                  (Status: 500) [Size: 62596]
/privacy_policy       (Status: 500) [Size: 62750]
/listinfo             (Status: 500) [Size: 62666]
/33                   (Status: 500) [Size: 62582]
/glossary             (Status: 500) [Size: 62666]
/strona_21            (Status: 500) [Size: 62680]
/x                    (Status: 500) [Size: 62568]
/adview               (Status: 500) [Size: 62638]
/chat                 (Status: 500) [Size: 62610]
/cnt                  (Status: 500) [Size: 62596]
/strona_19            (Status: 500) [Size: 62680]
/34                   (Status: 500) [Size: 62582]
/nl                   (Status: 500) [Size: 62582]
/text                 (Status: 500) [Size: 62610]
/post                 (Status: 500) [Size: 62610]
/whitepapers          (Status: 500) [Size: 62708]
/39                   (Status: 500) [Size: 62582]
/science              (Status: 500) [Size: 62652]
/order                (Status: 500) [Size: 62624]
/strona_13            (Status: 500) [Size: 62680]
/d                    (Status: 500) [Size: 62568]
/uk                   (Status: 500) [Size: 62582]
/affiliates           (Status: 500) [Size: 62694]
/42                   (Status: 500) [Size: 62582]
/forms                (Status: 500) [Size: 62624]
/testimonials         (Status: 500) [Size: 62722]
/flash                (Status: 500) [Size: 62624]
/upload               (Status: 500) [Size: 62638]
/privacypolicy        (Status: 500) [Size: 62736]
/node                 (Status: 500) [Size: 62610]
/sponsors             (Status: 500) [Size: 62666]
/donate               (Status: 500) [Size: 62638]
/account              (Status: 500) [Size: 62652]
/41                   (Status: 500) [Size: 62582]
/intro                (Status: 500) [Size: 62624]
/design               (Status: 500) [Size: 62638]
/podcasts             (Status: 500) [Size: 62666]
/comment              (Status: 500) [Size: 62652]
/37                   (Status: 500) [Size: 62582]
/FAQ                  (Status: 500) [Size: 62596]
/php                  (Status: 500) [Size: 62596]
/portal               (Status: 500) [Size: 62638]
/service              (Status: 500) [Size: 62652]
/viewforum            (Status: 500) [Size: 62680]
/special              (Status: 500) [Size: 62652]
/book                 (Status: 500) [Size: 62610]
/50                   (Status: 500) [Size: 62582]
/servlet              (Status: 500) [Size: 62652]
/38                   (Status: 500) [Size: 62582]
/dot                  (Status: 500) [Size: 62596]
/java                 (Status: 500) [Size: 62610]
/f                    (Status: 500) [Size: 62568]
/microsoft            (Status: 500) [Size: 62680]
/report               (Status: 500) [Size: 62638]
/issues               (Status: 500) [Size: 62638]
/world                (Status: 500) [Size: 62624]
/guide                (Status: 500) [Size: 62624]
/tn                   (Status: 500) [Size: 62582]
/memberlist           (Status: 500) [Size: 62694]
/about_us             (Status: 500) [Size: 62666]
/m                    (Status: 500) [Size: 62568]
/google               (Status: 500) [Size: 62638]
/bullet               (Status: 500) [Size: 62638]
/corporate            (Status: 500) [Size: 62680]
/pubs                 (Status: 500) [Size: 62610]
/47                   (Status: 500) [Size: 62582]
/43                   (Status: 500) [Size: 62582]
/lg                   (Status: 500) [Size: 62582]
/section              (Status: 500) [Size: 62652]
/international        (Status: 500) [Size: 62736]
/trans                (Status: 500) [Size: 62624]
/e                    (Status: 500) [Size: 62568]
/employment           (Status: 500) [Size: 62694]
/faculty              (Status: 500) [Size: 62652]
/gfx                  (Status: 500) [Size: 62596]
/art                  (Status: 500) [Size: 62596]
/45                   (Status: 500) [Size: 62582]
/folder               (Status: 500) [Size: 62638]
/show                 (Status: 500) [Size: 62610]
/partner              (Status: 500) [Size: 62652]
/photo                (Status: 500) [Size: 62624]
/documentation        (Status: 500) [Size: 62736]
/48                   (Status: 500) [Size: 62582]
/es                   (Status: 500) [Size: 62582]
/44                   (Status: 500) [Size: 62582]
/demo                 (Status: 500) [Size: 62610]
/buy                  (Status: 500) [Size: 62596]
/cs                   (Status: 500) [Size: 62582]
/videos               (Status: 500) [Size: 62638]
/flags                (Status: 500) [Size: 62624]
/perl                 (Status: 500) [Size: 62610]
/podcast              (Status: 500) [Size: 62652]
/cart                 (Status: 500) [Size: 62610]
/images01             (Status: 500) [Size: 62666]
/46                   (Status: 500) [Size: 62582]
/current              (Status: 500) [Size: 62652]
/51                   (Status: 500) [Size: 62582]
/49                   (Status: 500) [Size: 62582]
/local                (Status: 500) [Size: 62624]
/board                (Status: 500) [Size: 62624]
/pix                  (Status: 500) [Size: 62596]
/g                    (Status: 500) [Size: 62568]
/posts                (Status: 500) [Size: 62624]
/start                (Status: 500) [Size: 62624]
/multimedia           (Status: 500) [Size: 62694]
/tv                   (Status: 500) [Size: 62582]
/icon                 (Status: 500) [Size: 62610]
/60                   (Status: 500) [Size: 62582]
/lists                (Status: 500) [Size: 62624]
/tag                  (Status: 500) [Size: 62596]
/topic                (Status: 500) [Size: 62624]
/shopping             (Status: 500) [Size: 62666]
/headers              (Status: 500) [Size: 62652]
/promo                (Status: 500) [Size: 62624]
/title                (Status: 500) [Size: 62624]
/enterprise           (Status: 500) [Size: 62694]
/add                  (Status: 500) [Size: 62596]
/opinion              (Status: 500) [Size: 62652]
/results              (Status: 500) [Size: 62652]
/57                   (Status: 500) [Size: 62582]
/55                   (Status: 500) [Size: 62582]
/52                   (Status: 500) [Size: 62582]
/h                    (Status: 500) [Size: 62568]
/consumer             (Status: 500) [Size: 62666]
/site_map             (Status: 500) [Size: 62666]
/management           (Status: 500) [Size: 62694]
/54                   (Status: 500) [Size: 62582]
/authors              (Status: 500) [Size: 62652]
/whatsnew             (Status: 500) [Size: 62666]
/cgi                  (Status: 500) [Size: 62596]
/63                   (Status: 500) [Size: 62582]
/redirect             (Status: 500) [Size: 62666]
/59                   (Status: 500) [Size: 62582]
/pictures             (Status: 500) [Size: 62666]
/sp                   (Status: 500) [Size: 62582]
/policies             (Status: 500) [Size: 62666]
/more                 (Status: 500) [Size: 62610]
/code                 (Status: 500) [Size: 62610]
/mp3                  (Status: 500) [Size: 62596]
/smilies              (Status: 500) [Size: 62652]
/back                 (Status: 500) [Size: 62610]
/affiliate            (Status: 500) [Size: 62680]
/poll                 (Status: 500) [Size: 62610]
/skins                (Status: 500) [Size: 62624]
/storage              (Status: 500) [Size: 62652]
/1999                 (Status: 500) [Size: 62610]
/bin                  (Status: 500) [Size: 62596]
/details              (Status: 500) [Size: 62652]
/click                (Status: 500) [Size: 62624]
/author               (Status: 500) [Size: 62638]
/personal             (Status: 500) [Size: 62666]
/61                   (Status: 500) [Size: 62582]
/64                   (Status: 500) [Size: 62582]
/free                 (Status: 500) [Size: 62610]
/53                   (Status: 500) [Size: 62582]
/all                  (Status: 500) [Size: 62596]
/albums               (Status: 500) [Size: 62638]
/mac                  (Status: 500) [Size: 62596]
/howto                (Status: 500) [Size: 62624]
/conferences          (Status: 500) [Size: 62708]
/56                   (Status: 500) [Size: 62582]
/pl                   (Status: 500) [Size: 62582]
/counter              (Status: 500) [Size: 62652]
/wp-login             (Status: 500) [Size: 62666]
/Products             (Status: 500) [Size: 62666]
/maps                 (Status: 500) [Size: 62610]
/advisories           (Status: 500) [Size: 62694]
/display              (Status: 500) [Size: 62652]
/tests                (Status: 500) [Size: 62624]
/apple                (Status: 500) [Size: 62624]
/password             (Status: 500) [Size: 62666]
/group                (Status: 500) [Size: 62624]
/97                   (Status: 500) [Size: 62582]
/guides               (Status: 500) [Size: 62638]
/96                   (Status: 500) [Size: 62582]
/l                    (Status: 500) [Size: 62568]
/ftp                  (Status: 500) [Size: 62596]
/66                   (Status: 500) [Size: 62582]
/65                   (Status: 500) [Size: 62582]
/plugins              (Status: 500) [Size: 62652]
/columns              (Status: 500) [Size: 62652]
/printer              (Status: 500) [Size: 62652]
/89                   (Status: 500) [Size: 62582]
/forumdisplay         (Status: 500) [Size: 62722]
/thumbs               (Status: 500) [Size: 62638]
/w                    (Status: 500) [Size: 62568]
/70                   (Status: 500) [Size: 62582]
/traffic              (Status: 500) [Size: 62652]
/ad                   (Status: 500) [Size: 62582]
/groups               (Status: 500) [Size: 62638]
