Target: http://10.10.191.254/api/items?FUZZ=test
Total requests: 4702
==================================================================
ID    Response   Lines      Word         Chars          Request    
==================================================================
00221:  C=400      0 L	       1 W	     45 Ch	  "D"
00218:  C=400      0 L	       1 W	     45 Ch	  "ContactUs"
00220:  C=400      0 L	       1 W	     45 Ch	  "Creatives"
00224:  C=400      0 L	       1 W	     45 Ch	  "Database_Administration"
00226:  C=400      0 L	       1 W	     45 Ch	  "Documents and Settings"
00229:  C=400      0 L	       1 W	     45 Ch	  "E"
00230:  C=400      0 L	       1 W	     45 Ch	  "Education"
00228:  C=400      0 L	       1 W	     45 Ch	  "Downloads"
00225:  C=400      0 L	       1 W	     45 Ch	  "Default"
00227:  C=400      0 L	       1 W	     45 Ch	  "Download"
00231:  C=400      0 L	       1 W	     45 Ch	  "English"
00233:  C=400      0 L	       1 W	     45 Ch	  "Entries"
00236:  C=400      0 L	       1 W	     45 Ch	  "F"
00237:  C=400      0 L	       1 W	     45 Ch	  "FAQ"
00235:  C=400      0 L	       1 W	     45 Ch	  "Extranet"
00232:  C=400      0 L	       1 W	     45 Ch	  "Entertainment"
00234:  C=400      0 L	       1 W	     45 Ch	  "Events"
00238:  C=400      0 L	       1 W	     45 Ch	  "FCKeditor"
00240:  C=400      0 L	       1 W	     45 Ch	  "Games"
00243:  C=400      0 L	       1 W	     45 Ch	  "H"
00244:  C=400      0 L	       1 W	     45 Ch	  "HTML"
00242:  C=400      0 L	       1 W	     45 Ch	  "Graphics"
00239:  C=400      0 L	       1 W	     45 Ch	  "G"
00241:  C=400      0 L	       1 W	     45 Ch	  "Global"
00245:  C=400      0 L	       1 W	     45 Ch	  "Health"
00247:  C=400      0 L	       1 W	     45 Ch	  "Home"
00250:  C=400      0 L	       1 W	     45 Ch	  "Image"
00251:  C=400      0 L	       1 W	     45 Ch	  "Images"
00249:  C=400      0 L	       1 W	     45 Ch	  "INSTALL_admin"
00246:  C=400      0 L	       1 W	     45 Ch	  "Help"
00248:  C=400      0 L	       1 W	     45 Ch	  "I"
00252:  C=400      0 L	       1 W	     45 Ch	  "Index"
00254:  C=400      0 L	       1 W	     45 Ch	  "Internet"
00257:  C=400      0 L	       1 W	     45 Ch	  "Java"
00258:  C=400      0 L	       1 W	     45 Ch	  "L"
00256:  C=400      0 L	       1 W	     45 Ch	  "JMXSoapAdapter"
00253:  C=400      0 L	       1 W	     45 Ch	  "Indy_admin"
00255:  C=400      0 L	       1 W	     45 Ch	  "J"
00259:  C=400      0 L	       1 W	     45 Ch	  "LICENSE"
00261:  C=400      0 L	       1 W	     45 Ch	  "Links"
00264:  C=400      0 L	       1 W	     45 Ch	  "LogFiles"
00265:  C=400      0 L	       1 W	     45 Ch	  "Login"
00263:  C=400      0 L	       1 W	     45 Ch	  "Log"
00260:  C=400      0 L	       1 W	     45 Ch	  "Legal"
00262:  C=400      0 L	       1 W	     45 Ch	  "Linux"
00266:  C=400      0 L	       1 W	     45 Ch	  "Logs"
00268:  C=400      0 L	       1 W	     45 Ch	  "M"
00271:  C=400      0 L	       1 W	     45 Ch	  "Main"
00272:  C=400      0 L	       1 W	     45 Ch	  "Main_Page"
00270:  C=400      0 L	       1 W	     45 Ch	  "META-INF"
00267:  C=400      0 L	       1 W	     45 Ch	  "Lotus_Domino_Admin"
00269:  C=400      0 L	       1 W	     45 Ch	  "MANIFEST.MF"
00273:  C=400      0 L	       1 W	     45 Ch	  "Makefile"
00275:  C=400      0 L	       1 W	     45 Ch	  "Members"
00278:  C=400      0 L	       1 W	     45 Ch	  "Music"
00279:  C=400      0 L	       1 W	     45 Ch	  "N"
00277:  C=400      0 L	       1 W	     45 Ch	  "Misc"
00274:  C=400      0 L	       1 W	     45 Ch	  "Media"
00276:  C=400      0 L	       1 W	     45 Ch	  "Menus"
00280:  C=400      0 L	       1 W	     45 Ch	  "News"
00282:  C=400      0 L	       1 W	     45 Ch	  "OA"
00285:  C=400      0 L	       1 W	     45 Ch	  "OasDefault"
00286:  C=400      0 L	       1 W	     45 Ch	  "Office"
00284:  C=400      0 L	       1 W	     45 Ch	  "OA_HTML"
00281:  C=400      0 L	       1 W	     45 Ch	  "O"
00283:  C=400      0 L	       1 W	     45 Ch	  "OAErrorDetailPage"
00287:  C=400      0 L	       1 W	     45 Ch	  "P"
00289:  C=400      0 L	       1 W	     45 Ch	  "PHP"
00292:  C=400      0 L	       1 W	     45 Ch	  "People"
00293:  C=400      0 L	       1 W	     45 Ch	  "Press"
00291:  C=400      0 L	       1 W	     45 Ch	  "Pages"
00288:  C=400      0 L	       1 W	     45 Ch	  "PDF"
00290:  C=400      0 L	       1 W	     45 Ch	  "PMA"
00294:  C=400      0 L	       1 W	     45 Ch	  "Privacy"
